blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
285A,BT BATOK EAST AVE 3,2,1994,N,N,N,N,Y,N,BB,0,0,0,0,0,0,0,0,0,0,0,0,0
285A,TOH GUAN RD,21,1997,Y,N,N,N,N,N,JE,113,0,0,0,0,2,111,0,0,0,0,0,0
285B,TOH GUAN RD,16,1997,Y,N,N,N,N,N,JE,99,0,0,0,69,30,0,0,0,0,0,0,0
285C,TOH GUAN RD,15,1997,Y,N,N,Y,N,N,JE,68,0,0,0,0,0,68,0,0,0,0,0,0
285D,TOH GUAN RD,21,1997,Y,N,N,Y,N,N,JE,113,0,0,0,0,2,111,0,0,0,0,0,0
285E,TOH GUAN RD,5,1997,N,N,N,N,Y,N,JE,0,0,0,0,0,0,0,0,0,0,0,0,0
286,BISHAN ST 24,25,1991,Y,N,N,N,N,N,BH,92,0,0,0,84,0,8,0,0,0,0,0,0
286,BT BATOK EAST AVE 3,15,1994,Y,N,N,N,N,N,BB,93,0,0,0,0,93,0,0,0,0,0,0,0
286,CHOA CHU KANG AVE 3,14,1990,Y,Y,N,N,N,N,CCK,78,0,0,0,78,0,0,0,0,0,0,0,0
286,COMPASSVALE CRES,1,2016,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
286,TAMPINES ST 22,11,1983,Y,Y,N,N,N,N,TAP,120,0,0,30,90,0,0,0,0,0,0,0,0
286,YISHUN AVE 6,12,1984,Y,N,N,N,N,N,YS,110,0,0,66,44,0,0,0,0,0,0,0,0
286A,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,112,0,0,0,56,56,0,0,0,0,0,0,0
286A,TOH GUAN RD,21,1997,Y,N,N,N,N,N,JE,111,0,0,0,37,74,0,0,0,0,0,0,0
286B,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,112,0,0,0,56,56,0,0,0,0,0,0,0
286B,TOH GUAN RD,21,1997,Y,N,N,N,N,N,JE,113,0,0,0,0,2,111,0,0,0,0,0,0
286C,COMPASSVALE CRES,15,2016,Y,N,N,Y,N,N,SK,224,0,22,84,56,0,0,0,62,0,0,0,0
286C,TOH GUAN RD,21,1997,Y,N,N,N,N,N,JE,113,0,0,0,0,2,111,0,0,0,0,0,0
286D,TOH GUAN RD,21,1997,Y,N,N,N,N,N,JE,111,0,0,0,37,74,0,0,0,0,0,0,0
286E,TOH GUAN RD,5,1997,N,Y,N,N,Y,N,JE,0,0,0,0,0,0,0,0,0,0,0,0,0
287,BISHAN ST 24,4,1991,Y,N,N,N,N,N,BH,32,0,0,0,32,0,0,0,0,0,0,0,0
287,BT BATOK EAST AVE 3,24,1995,Y,N,N,N,N,N,BB,77,0,0,0,0,0,77,0,0,0,0,0,0
287,CHOA CHU KANG AVE 2,9,1990,Y,Y,N,Y,N,N,CCK,72,0,0,0,0,0,72,0,0,0,0,0,0
287,TAMPINES ST 22,10,1983,Y,N,N,Y,N,N,TAP,144,0,0,54,90,0,0,0,0,0,0,0,0
287,YISHUN AVE 6,12,1984,Y,Y,N,Y,N,N,YS,110,0,0,66,44,0,0,0,0,0,0,0,0
287A,COMPASSVALE CRES,15,2016,Y,N,N,Y,N,N,SK,196,0,17,0,56,56,0,0,67,0,0,0,0
287A,CHOA CHU KANG AVE 2,6,1992,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
287A,JURONG EAST ST 21,21,1997,Y,N,N,N,N,N,JE,113,0,0,0,0,2,111,0,0,0,0,0,0
287B,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,56,0,0,0,28,28,0,0,0,0,0,0,0
287B,JURONG EAST ST 21,21,1997,Y,N,N,N,N,N,JE,113,0,0,0,0,2,111,0,0,0,0,0,0
287C,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,112,0,0,0,56,56,0,0,0,0,0,0,0
287C,JURONG EAST ST 21,21,1997,Y,N,N,N,N,N,JE,111,0,0,0,0,0,111,0,0,0,0,0,0
287D,JURONG EAST ST 21,15,1996,Y,N,N,N,N,N,JE,68,0,0,0,0,0,68,0,0,0,0,0,0
287E,JURONG EAST ST 21,5,1996,N,N,N,N,Y,N,JE,0,0,0,0,0,0,0,0,0,0,0,0,0
288,BISHAN ST 24,24,1996,Y,N,N,Y,N,N,BH,131,0,0,0,67,64,0,0,0,0,0,0,0
288,CHOA CHU KANG AVE 3,16,1990,Y,Y,N,N,N,N,CCK,119,0,0,0,119,0,0,0,0,0,0,0,0
288,COMPASSVALE CRES,1,2016,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
288,PUNGGOL PL,1,2011,N,N,N,N,N,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
288,TAMPINES ST 22,10,1983,Y,N,N,N,N,N,TAP,126,0,0,0,20,106,0,0,0,0,0,0,0
288,YISHUN AVE 6,12,1985,Y,N,N,Y,N,N,YS,136,0,0,0,78,58,0,0,0,0,0,0,0
288A,BT BATOK ST 25,16,1996,Y,N,N,N,N,N,BB,90,0,0,0,0,30,60,0,0,0,0,0,0
288A,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,112,0,0,0,56,56,0,0,0,0,0,0,0
288A,JURONG EAST ST 21,25,1998,Y,N,N,N,N,N,JE,135,0,0,0,45,90,0,0,0,0,0,0,0
288A,PUNGGOL PL,16,2011,Y,N,N,N,N,N,PG,90,0,0,0,45,45,0,0,0,0,0,0,0
288B,BT BATOK ST 25,16,1996,Y,N,N,N,N,N,BB,90,0,0,0,0,30,60,0,0,0,0,0,0
288B,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,84,0,0,0,28,56,0,0,0,0,0,0,0
288B,JURONG EAST ST 21,16,1998,Y,N,N,Y,N,N,JE,72,0,0,0,42,30,0,0,0,0,0,0,0
288B,PUNGGOL PL,16,2011,Y,N,N,N,N,N,PG,90,0,0,30,60,0,0,0,0,0,0,0,0
288C,BT BATOK ST 25,15,1997,Y,Y,N,N,N,N,BB,132,0,0,0,132,0,0,0,0,0,0,0,0
288C,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,84,0,0,0,56,28,0,0,0,0,0,0,0
288C,JURONG EAST ST 21,15,1998,Y,N,N,Y,N,N,JE,80,0,0,0,0,0,80,0,0,0,0,0,0
288C,PUNGGOL PL,16,2011,Y,N,N,N,N,N,PG,120,0,0,30,90,0,0,0,0,0,0,0,0
288D,BT BATOK ST 25,14,1996,Y,N,N,N,N,N,BB,137,0,0,0,137,0,0,0,0,0,0,0,0
288D,JURONG EAST ST 21,25,1998,Y,N,N,N,N,N,JE,135,0,0,0,45,90,0,0,0,0,0,0,0
288E,BT BATOK ST 25,14,1997,Y,N,N,Y,N,N,BB,144,0,0,0,135,9,0,0,0,0,0,0,0
288E,JURONG EAST ST 21,16,1998,Y,N,N,N,N,N,JE,75,0,0,0,45,30,0,0,0,0,0,0,0
288F,BT BATOK ST 25,15,1998,Y,N,N,N,N,N,BB,84,0,0,0,0,28,56,0,0,0,0,0,0
288F,JURONG EAST ST 21,5,1998,N,N,N,N,Y,N,JE,0,0,0,0,0,0,0,0,0,0,0,0,0
288G,BT BATOK ST 25,15,1997,Y,N,N,N,N,N,BB,98,0,0,0,0,84,14,0,0,0,0,0,0
288H,BT BATOK ST 25,7,1996,N,N,N,N,Y,N,BB,0,0,0,0,0,0,0,0,0,0,0,0,0
288J,BT BATOK ST 25,1,1997,N,N,N,N,N,Y,BB,0,0,0,0,0,0,0,0,0,0,0,0,0
289,BISHAN ST 24,24,1996,Y,N,N,N,N,N,BH,131,0,0,0,67,64,0,0,0,0,0,0,0
289,BT BATOK ST 25,1,1996,N,N,N,N,N,Y,BB,0,0,0,0,0,0,0,0,0,0,0,0,0
289,CHOA CHU KANG AVE 3,12,1990,Y,Y,N,Y,N,N,CCK,99,0,0,0,99,0,0,0,0,0,0,0,0
289,COMPASSVALE CRES,7,2016,N,N,N,N,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
289,PUNGGOL PL,1,2012,N,N,N,N,N,Y,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
289,TAMPINES ST 22,12,1984,Y,Y,N,N,N,N,TAP,110,0,0,0,16,94,0,0,0,0,0,0,0
289,YISHUN AVE 6,12,1985,Y,N,N,N,N,N,YS,136,0,0,0,78,58,0,0,0,0,0,0,0
289A,BT BATOK ST 25,16,1996,Y,N,N,N,N,N,BB,90,0,0,0,0,30,60,0,0,0,0,0,0
289A,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,154,0,0,42,84,28,0,0,0,0,0,0,0
289A,PUNGGOL PL,16,2011,Y,N,N,N,N,N,PG,120,0,0,30,90,0,0,0,0,0,0,0,0
289B,BT BATOK ST 25,16,1996,Y,N,N,N,N,N,BB,90,0,0,0,0,30,60,0,0,0,0,0,0
289B,COMPASSVALE CRES,15,2016,Y,N,N,N,N,N,SK,154,0,0,70,56,28,0,0,0,0,0,0,0
289B,PUNGGOL PL,16,2011,Y,N,N,N,N,N,PG,120,0,0,30,90,0,0,0,0,0,0,0,0
289C,BT BATOK ST 25,17,1997,Y,N,N,N,N,N,BB,112,0,0,0,0,96,16,0,0,0,0,0,0
289C,COMPASSVALE CRES,2,2017,N,Y,N,Y,N,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
289C,PUNGGOL PL,16,2011,Y,N,N,Y,N,N,PG,90,0,0,0,30,60,0,0,0,0,0,0,0
289D,BT BATOK ST 25,17,1997,Y,N,N,N,N,N,BB,112,0,0,0,0,96,16,0,0,0,0,0,0
289D,PUNGGOL PL,16,2011,Y,N,N,Y,N,N,PG,120,0,0,0,60,60,0,0,0,0,0,0,0
289E,BT BATOK ST 25,16,1997,Y,Y,N,N,N,N,BB,185,0,0,0,161,24,0,0,0,0,0,0,0
289F,BT BATOK ST 25,14,1997,Y,N,N,Y,N,N,BB,137,0,0,0,137,0,0,0,0,0,0,0,0
289G,BT BATOK ST 25,15,1997,Y,N,N,Y,N,N,BB,156,0,0,0,147,9,0,0,0,0,0,0,0
289H,BT BATOK ST 25,6,1997,N,Y,N,N,Y,N,BB,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BALAM RD,19,1995,Y,N,N,N,N,N,GL,89,0,0,0,53,36,0,0,0,0,0,0,0
29,BENDEMEER RD,1,2005,N,N,Y,N,N,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0
