blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
620,ANG MO KIO AVE 9,12,1980,Y,N,N,N,N,N,AMK,110,0,0,0,16,94,0,0,0,0,0,0,0
620,BEDOK RESERVOIR RD,11,1980,Y,N,N,Y,N,N,BD,278,0,93,177,1,1,0,0,0,0,6,0,0
620,BT BATOK CTRL,30,2002,Y,N,N,N,N,N,BB,134,0,0,0,50,84,0,0,0,0,0,0,0
620,BT PANJANG RING RD,20,2000,Y,N,N,Y,N,N,BP,95,0,0,0,57,38,0,0,0,0,0,0,0
620,CHOA CHU KANG ST 62,12,1994,Y,Y,N,N,N,N,CCK,110,0,0,0,66,44,0,0,0,0,0,0,0
620,HOUGANG AVE 8,12,1985,Y,Y,N,N,N,N,HG,121,0,0,121,0,0,0,0,0,0,0,0,0
620,JURONG WEST ST 65,16,1999,Y,N,N,Y,N,N,JW,85,0,0,0,29,56,0,0,0,0,0,0,0
620,WOODLANDS DR 52,12,1997,Y,N,N,Y,N,N,WL,143,0,0,0,143,0,0,0,0,0,0,0,0
620,YISHUN RING RD,12,1986,Y,N,N,N,N,N,YS,88,0,0,0,48,40,0,0,0,0,0,0,0
621,ANG MO KIO AVE 9,12,1979,Y,N,N,Y,N,N,AMK,107,0,0,82,22,2,1,0,0,0,0,0,0
621,BEDOK RESERVOIR RD,11,1982,Y,Y,N,N,N,N,BD,100,0,0,0,16,84,0,0,0,0,0,0,0
621,BT BATOK CTRL,30,2002,Y,N,N,N,N,N,BB,134,0,0,0,50,84,0,0,0,0,0,0,0
621,CHOA CHU KANG ST 62,12,1994,Y,N,N,N,N,N,CCK,74,0,0,0,45,29,0,0,0,0,0,0,0
621,HOUGANG AVE 8,4,1985,Y,N,N,N,N,N,HG,24,0,0,0,0,0,24,0,0,0,0,0,0
621,JURONG WEST ST 65,16,1999,Y,N,N,N,N,N,JW,122,0,0,0,122,0,0,0,0,0,0,0,0
621,SENJA RD,20,2000,Y,N,N,N,N,N,BP,122,0,0,0,46,76,0,0,0,0,0,0,0
621,WOODLANDS DR 52,12,1997,Y,N,N,N,N,N,WL,103,0,0,0,48,55,0,0,0,0,0,0,0
621,YISHUN RING RD,12,1986,Y,N,N,N,N,N,YS,110,0,0,66,44,0,0,0,0,0,0,0,0
621A,CHOA CHU KANG NTH 7,5,1994,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
621A,EDGEFIELD WALK,17,2010,Y,N,N,Y,N,N,PG,256,0,0,0,0,0,0,0,0,208,48,0,0
621B,EDGEFIELD WALK,17,2010,Y,N,N,Y,N,N,PG,256,0,0,0,0,0,0,0,0,208,48,0,0
622,ANG MO KIO AVE 9,12,1980,Y,N,N,N,N,N,AMK,110,0,0,0,16,94,0,0,0,0,0,0,0
622,BEDOK RESERVOIR RD,12,1980,Y,N,N,N,N,N,BD,110,0,0,0,110,0,0,0,0,0,0,0,0
622,BT BATOK CTRL,30,2002,Y,N,N,N,N,N,BB,134,0,0,0,50,84,0,0,0,0,0,0,0
622,CHOA CHU KANG ST 62,1,1996,N,N,Y,N,N,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0
622,HOUGANG AVE 8,4,1985,Y,N,N,N,N,N,HG,24,0,0,0,0,0,24,0,0,0,0,0,0
622,JURONG WEST ST 61,16,1999,Y,N,N,N,N,N,JW,138,0,0,0,48,90,0,0,0,0,0,0,0
