blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
318,CLEMENTI AVE 4,12,1978,Y,N,N,N,N,N,CL,88,0,0,0,88,0,0,0,0,0,0,0,0
318,HOUGANG AVE 5,4,1982,Y,N,N,N,N,N,HG,24,0,0,16,8,0,0,0,0,0,0,0,0
318A,ANCHORVALE LINK,15,2000,Y,N,N,N,N,N,SK,78,0,0,0,22,56,0,0,0,0,0,0,0
318A,CLEMENTI AVE 4,2,2008,N,N,N,N,Y,N,CL,0,0,0,0,0,0,0,0,0,0,0,0,0
318C,ANCHORVALE LINK,16,2001,Y,N,N,Y,N,N,SK,82,0,0,0,28,54,0,0,0,0,0,0,0
318C,YISHUN AVE 9,15,2014,Y,N,N,N,N,N,YS,112,0,0,0,56,56,0,0,0,0,0,0,0
319,ANCHORVALE DR,5,2000,N,N,N,N,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
319,SEMBAWANG CL,15,1997,Y,N,N,Y,N,N,SB,86,0,0,0,58,28,0,0,0,0,0,0,0
319,WOODLANDS ST 31,12,1985,Y,N,N,N,N,N,WL,110,0,0,66,44,0,0,0,0,0,0,0,0
319A,ANCHORVALE DR,15,2001,Y,Y,N,N,N,N,SK,110,0,0,0,40,70,0,0,0,0,0,0,0
319B,ANCHORVALE DR,15,2000,Y,Y,N,N,N,N,SK,139,0,0,0,58,81,0,0,0,0,0,0,0
32,BALAM RD,10,1965,Y,N,N,N,N,N,GL,118,0,29,86,2,0,0,0,0,0,1,0,0
32,BENDEMEER RD,12,1970,Y,N,N,Y,N,N,KWN,276,0,0,0,0,0,0,0,0,276,0,0,0
32,HOLLAND CL,10,1973,Y,N,N,Y,N,N,QT,209,0,0,202,0,7,0,0,0,0,0,0,0
32,MARINE CRES,18,1974,Y,N,N,N,N,N,MP,195,0,0,186,0,9,0,0,0,0,0,0,0
32,MARSILING DR,14,1976,Y,N,N,Y,N,N,WL,128,0,0,100,26,1,1,0,0,0,0,0,0
32,NEW MKT RD,9,1968,Y,Y,Y,N,N,N,CT,127,0,85,38,3,0,0,0,0,0,1,0,0
32,TELOK BLANGAH RISE,13,1975,Y,N,N,Y,N,N,BM,138,0,0,132,0,6,0,0,0,0,0,0,0
32A,JLN BAHAGIA,5,1996,N,N,N,N,Y,N,KWN,0,0,0,0,0,0,0,0,0,0,0,0,0
32A,MARINE CRES,1,2002,N,N,N,N,N,Y,MP,0,0,0,0,0,0,0,0,0,0,0,0,0
320,ANCHORVALE DR,1,2001,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
320,ANG MO KIO AVE 1,12,1976,Y,N,N,Y,N,N,AMK,131,0,0,108,22,1,0,0,0,0,0,0,0
320,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,79,0,0,0,58,21,0,0,0,0,0,0,0
320,TAMPINES ST 33,10,1994,Y,N,N,Y,N,N,TAP,81,0,0,0,63,18,0,0,0,0,0,0,0
320,YISHUN CTRL,12,1986,Y,N,N,N,N,N,YS,132,0,0,66,66,0,0,0,0,0,0,0,0
320A,ANCHORVALE DR,15,2001,Y,N,N,N,N,N,SK,88,0,0,0,88,0,0,0,0,0,0,0,0
320B,ANCHORVALE DR,15,2000,Y,N,N,N,N,N,SK,86,0,0,0,28,58,0,0,0,0,0,0,0
320C,ANCHORVALE DR,15,2000,Y,Y,N,N,N,N,SK,84,0,0,0,0,0,84,0,0,0,0,0,0
321,ANG MO KIO AVE 1,12,1976,Y,N,N,Y,N,N,AMK,131,0,0,108,22,0,1,0,0,0,0,0,0
321,ANCHORVALE DR,5,2000,N,N,N,N,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
321,BT BATOK ST 33,12,1984,Y,N,N,N,N,N,BB,132,0,0,66,66,0,0,0,0,0,0,0,0
321,SUMANG WALK,1,2018,N,N,N,N,N,Y,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
321,TAH CHING RD,21,1995,Y,N,N,N,N,N,JW,82,0,0,0,38,44,0,0,0,0,0,0,0
321,WOODLANDS ST 32,11,1985,Y,N,N,Y,N,N,WL,144,0,0,0,108,36,0,0,0,0,0,0,0
321B,ANCHORVALE DR,15,2000,Y,N,N,Y,N,N,SK,153,0,0,0,72,81,0,0,0,0,0,0,0
322,ANG MO KIO AVE 3,12,1976,Y,N,N,Y,N,N,AMK,129,0,0,104,22,1,2,0,0,0,0,0,0
322,JURONG EAST ST 31,13,1984,Y,N,N,N,N,N,JE,120,0,0,0,24,96,0,0,0,0,0,0,0
322,SERANGOON AVE 3,11,1985,Y,N,N,N,N,N,SGN,70,0,0,0,0,0,70,0,0,0,0,0,0
322,SUMANG WALK,8,2017,N,Y,N,N,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0
322A,SUMANG WALK,20,2017,Y,N,N,Y,N,N,PG,84,0,0,0,38,46,0,0,0,0,0,0,0
322B,SUMANG WALK,20,2017,Y,N,N,Y,N,N,PG,84,0,0,0,38,46,0,0,0,0,0,0,0
322C,SUMANG WALK,20,2018,Y,N,N,Y,N,N,PG,116,0,0,57,32,27,0,0,0,0,0,0,0
323,BT BATOK ST 33,9,1985,Y,Y,N,N,N,N,BB,112,0,0,73,38,1,0,0,0,0,0,0,0
323,JURONG EAST ST 31,15,1984,Y,Y,N,N,N,N,JE,76,0,0,0,0,0,76,0,0,0,0,0,0
323,SENGKANG EAST WAY,6,2000,N,N,N,N,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0
323,SEMBAWANG CL,15,1997,Y,N,N,N,N,N,SB,100,0,0,0,28,72,0,0,0,0,0,0,0
323,TAMPINES ST 33,10,1994,Y,Y,N,N,N,N,TAP,84,0,0,0,66,18,0,0,0,0,0,0,0
323A,ANG MO KIO AVE 3,5,1999,N,N,N,N,Y,N,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0
