blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental
466D,SEMBAWANG DR,21,2005,Y,N,N,N,N,N,SB,114,0,0,0,76,38,0,0,0,0,0,0,0
470,SEMBAWANG DR,15,1999,Y,N,N,N,N,N,SB,114,0,0,0,51,63,0,0,0,0,0,0,0
471,SEMBAWANG DR,15,1999,Y,N,N,Y,N,N,SB,84,0,0,0,0,0,84,0,0,0,0,0,0
472,SEMBAWANG DR,15,1998,Y,N,N,Y,N,N,SB,84,0,0,0,0,0,84,0,0,0,0,0,0
473,SEMBAWANG DR,15,1999,Y,N,N,N,N,N,SB,102,0,0,0,38,64,0,0,0,0,0,0,0
474,SEMBAWANG DR,15,1999,Y,N,N,N,N,N,SB,101,0,0,0,37,64,0,0,0,0,0,0,0
475,SEMBAWANG DR,15,1998,Y,N,N,N,N,N,SB,97,0,0,0,38,59,0,0,0,0,0,0,0
475A,SEMBAWANG DR,2,1999,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
476,SEMBAWANG DR,15,1998,Y,N,N,N,N,N,SB,97,0,0,0,38,59,0,0,0,0,0,0,0
476A,SEMBAWANG DR,5,1998,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
477,SEMBAWANG DR,15,1998,Y,Y,N,N,N,N,SB,98,0,0,0,98,0,0,0,0,0,0,0,0
478,SEMBAWANG DR,15,1998,Y,Y,N,Y,N,N,SB,110,0,0,0,82,28,0,0,0,0,0,0,0
479,SEMBAWANG DR,15,1998,Y,N,N,N,N,N,SB,98,0,0,0,98,0,0,0,0,0,0,0,0
480,SEMBAWANG DR,15,1998,Y,N,N,Y,N,N,SB,98,0,0,0,36,62,0,0,0,0,0,0,0
480A,SEMBAWANG DR,1,1999,N,N,N,N,N,Y,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
481,SEMBAWANG DR,15,1998,Y,N,N,N,N,N,SB,115,0,0,0,51,64,0,0,0,0,0,0,0
481A,SEMBAWANG DR,5,1998,N,N,N,N,Y,N,SB,0,0,0,0,0,0,0,0,0,0,0,0,0
